"year","region","rate","pop"
1950,"East Asia & Pacific",88.411767361406,855527689.587264
1950,"Europe & Central Asia",13.6996695493562,595785808.065376
1950,"Latin America & Caribbean",49.9483285255691,167270368.85031
1950,"Middle East, North Africa, Afghanistan & Pakistan",64.4558114579183,124846498.008023
1950,"North America",2.13072410053091,168328862.89068
1950,"South Asia",83.6793086552555,403937757
1950,"Sub-Saharan Africa",66.6157478416941,183582320.049271
1951,"East Asia & Pacific",87.6860941118321,871000873.347143
1951,"Europe & Central Asia",12.4564913295638,602003383.554629
1951,"Latin America & Caribbean",49.2596001265682,171656704.268009
1951,"Middle East, North Africa, Afghanistan & Pakistan",64.5683259425399,127609777.239183
1951,"North America",2.03191533183819,170954853.519994
1951,"South Asia",83.4823352308482,412671672
1951,"Sub-Saharan Africa",65.4274699865789,187329812.927828
1952,"East Asia & Pacific",87.0995399050437,888732510.492625
1952,"Europe & Central Asia",12.4451038352788,608250514.538946
1952,"Latin America & Caribbean",48.5121329517067,176208676.838154
1952,"Middle East, North Africa, Afghanistan & Pakistan",63.9469408025118,130551953.417762
1952,"North America",1.93353406424764,173673111.690109
1952,"South Asia",83.0841270241647,421883211
1952,"Sub-Saharan Africa",64.805189365564,191219740.097849
1953,"East Asia & Pacific",86.2757593078538,908138145.981597
1953,"Europe & Central Asia",11.5115023549284,614942795.162197
1953,"Latin America & Caribbean",48.5253437560898,180918203.433033
1953,"Middle East, North Africa, Afghanistan & Pakistan",62.762574895277,133651657.625485
1953,"North America",1.84363443020194,176468246.627857
1953,"South Asia",81.9317270993462,431352154
1953,"Sub-Saharan Africa",64.3511312936235,195215773.630812
1954,"East Asia & Pacific",86.272430519102,928083174.529115
1954,"Europe & Central Asia",10.9670754445686,621919838.298457
1954,"Latin America & Caribbean",47.5131874707458,185791548.796823
1954,"Middle East, North Africa, Afghanistan & Pakistan",61.942456280425,136882428.740189
1954,"North America",1.94531029240964,179363540.628142
1954,"South Asia",81.2396328876249,441231596
1954,"Sub-Saharan Africa",63.37106325659,199350474.606523
1955,"East Asia & Pacific",85.8140065111524,949352730.445101
1955,"Europe & Central Asia",10.1312368630343,629029716.043084
1955,"Latin America & Caribbean",46.391195180262,190834007.66461
1955,"Middle East, North Africa, Afghanistan & Pakistan",62.5494033867006,140248809.975257
1955,"North America",1.83812215600564,182342929.149665
1955,"South Asia",81.512798446103,451626229
1955,"Sub-Saharan Africa",62.9560659606775,203667377.706454
1956,"East Asia & Pacific",85.5152985649119,970446721.39063
1956,"Europe & Central Asia",9.7403102838248,636272775.612595
1956,"Latin America & Caribbean",46.0018726352893,196048261.411085
1956,"Middle East, North Africa, Afghanistan & Pakistan",61.1557887965585,143752304.787777
1956,"North America",1.83084288471185,185405730.326418
1956,"South Asia",79.9522972368565,462361974
1956,"Sub-Saharan Africa",62.8383283868772,208163233.081194
1957,"East Asia & Pacific",85.3323316907076,992593288.251296
1957,"Europe & Central Asia",9.00633861076023,643961962.697612
1957,"Latin America & Caribbean",44.9291824678198,201434271.112953
1957,"Middle East, North Africa, Afghanistan & Pakistan",60.1664775930301,147346339.222407
1957,"North America",1.83248320275074,188568316.714134
1957,"South Asia",81.0226224389149,473148610
1957,"Sub-Saharan Africa",62.5551022683614,212775005.624566
1958,"East Asia & Pacific",85.3551072411364,1015087718.79527
1958,"Europe & Central Asia",8.57565637559699,652107301.938531
1958,"Latin America & Caribbean",43.9297357535014,206983253.264521
1958,"Middle East, North Africa, Afghanistan & Pakistan",59.4247248651198,151015343.711463
1958,"North America",1.83390498372117,191753823.876831
1958,"South Asia",79.8417813386376,484235353
1958,"Sub-Saharan Africa",62.8384285603701,217444272.646079
1959,"East Asia & Pacific",85.0502372751488,1032334797.3855
1959,"Europe & Central Asia",8.1599108382959,660077298.288842
1959,"Latin America & Caribbean",43.5014825038515,212710053.452988
1959,"Middle East, North Africa, Afghanistan & Pakistan",58.3384650587194,154873962.17077
1959,"North America",1.74375681733875,195102830.168068
1959,"South Asia",79.4868268110614,495898367
1959,"Sub-Saharan Africa",61.9899010370616,222392918.11034
1960,"East Asia & Pacific",84.7747071314337,1043163165
1960,"Europe & Central Asia",8.02018088304111,667887356
1960,"Latin America & Caribbean",41.7883499665615,218624695
1960,"Middle East, North Africa, Afghanistan & Pakistan",57.1600879031973,158925796.792411
1960,"North America",1.73528042018416,198622564
1960,"South Asia",77.73467973822,507919318
1960,"Sub-Saharan Africa",61.4771379395735,227706653
1961,"East Asia & Pacific",84.4158473774483,1045131050
1961,"Europe & Central Asia",7.6268253897008,675548634
1961,"Latin America & Caribbean",40.928368054509,224737321
1961,"Middle East, North Africa, Afghanistan & Pakistan",56.2748108187574,163077566.022054
1961,"North America",1.73570127053604,202005123
1961,"South Asia",77.0232930026176,520416897
1961,"Sub-Saharan Africa",61.7622156218709,233241597
1962,"East Asia & Pacific",84.1498618429357,1059630790
1962,"Europe & Central Asia",7.28579513106453,683341199
1962,"Latin America & Caribbean",40.1316022524816,231038261
1962,"Middle East, North Africa, Afghanistan & Pakistan",56.0627757771684,167416872.773955
1962,"North America",1.72702581500546,205196239
1962,"South Asia",76.6840688657875,533162544
1962,"Sub-Saharan Africa",60.8278790583551,239026415
1963,"East Asia & Pacific",83.9637328302982,1085539006
1963,"Europe & Central Asia",6.77322796742171,691189404
1963,"Latin America & Caribbean",40.0076853817512,237499676
1963,"Middle East, North Africa, Afghanistan & Pakistan",54.3704372703593,171923983.877499
1963,"North America",1.63662430477508,208251340
1963,"South Asia",75.674302681469,546111213
1963,"Sub-Saharan Africa",59.919119159478,245034711
1964,"East Asia & Pacific",83.714112995885,1111116316
1964,"Europe & Central Asia",6.27419026463155,699058435
1964,"Latin America & Caribbean",39.035906107271,244080552
1964,"Middle East, North Africa, Afghanistan & Pakistan",52.5124109386236,176603593.401986
1964,"North America",1.63724232295208,211260410
1964,"South Asia",73.1904870268876,559361410
1964,"Sub-Saharan Africa",59.32537480986,251292534
1965,"East Asia & Pacific",83.4793622866917,1137344230
1965,"Europe & Central Asia",6.02632727522264,706683416
1965,"Latin America & Caribbean",38.9970242688514,250750949
1965,"Middle East, North Africa, Afghanistan & Pakistan",51.0845490918915,181422148.119365
1965,"North America",1.3563344409083,214028461
1965,"South Asia",75.2080999286318,572498343
1965,"Sub-Saharan Africa",58.6424446429561,257806104
1966,"East Asia & Pacific",83.186044682101,1166693364
1966,"Europe & Central Asia",5.47469431210067,713443573
1966,"Latin America & Caribbean",37.7344471028661,257488362
1966,"Middle East, North Africa, Afghanistan & Pakistan",50.4773942413709,186426288.985933
1966,"North America",1.24808686659772,216656534
1966,"South Asia",75.8765352911855,585381018
1966,"Sub-Saharan Africa",58.8720136364378,264528156
1967,"East Asia & Pacific",83.378666388514,1195324261
1967,"Europe & Central Asia",5.27786664391939,720146318
1967,"Latin America & Caribbean",37.2275025798849,264279682
1967,"Middle East, North Africa, Afghanistan & Pakistan",50.0196714422808,191715008.958744
1967,"North America",1.1583596502437,219173514
1967,"South Asia",74.2231420474435,598618725
1967,"Sub-Saharan Africa",60.3710392250398,271499400
1968,"East Asia & Pacific",83.2421713350392,1225064497
1968,"Europe & Central Asia",4.98654609708339,726634174
1968,"Latin America & Caribbean",35.8164533793525,271127278
1968,"Middle East, North Africa, Afghanistan & Pakistan",48.7695559431694,197135726.368734
1968,"North America",1.04987762474599,221500404
1968,"South Asia",73.3706664339922,612171905
1968,"Sub-Saharan Africa",60.3669801020394,278774032
1969,"East Asia & Pacific",82.8449794689071,1256633758
1969,"Europe & Central Asia",4.8295826230783,733044421
1969,"Latin America & Caribbean",34.7321281705664,278039112
1969,"Middle East, North Africa, Afghanistan & Pakistan",47.3862432517541,202772045.14277
1969,"North America",0.678597706801368,223756306
1969,"South Asia",71.491001231042,625773349
1969,"Sub-Saharan Africa",58.270096066391,286291766
1970,"East Asia & Pacific",82.2355994488429,1288965542
1970,"Europe & Central Asia",4.5573066921021,738724073
1970,"Latin America & Caribbean",32.9775644865989,284995920
1970,"Middle East, North Africa, Afghanistan & Pakistan",46.1572634908647,208602006.011962
1970,"North America",1.12245644414602,226428124
1970,"South Asia",70.0400125672768,640078209
1970,"Sub-Saharan Africa",56.7739970500421,294071521
1971,"East Asia & Pacific",81.8793446306966,1323064089
1971,"Europe & Central Asia",4.38611820449475,744432963
1971,"Latin America & Caribbean",31.1009803191482,292033454
1971,"Middle East, North Africa, Afghanistan & Pakistan",45.7242339323285,214487198.294151
1971,"North America",1.03390139713859,229675639
