"","iso3c","year","SN.ITK.SVFI.ZS"
"1","AFG",1999,26.7
"2","AFG",2000,27.3
"3","AFG",2001,22.3
"4","AFG",2002,24.1
"5","AFG",2003,25
"6","AFG",2004,21.9
"7","AFG",2005,18.8
"8","AFG",2006,17.7
"9","AFG",2007,15.5
"10","AFG",2008,14.9
"11","AFG",2009,13.1
"12","AFG",2010,12.6
"13","AFG",2011,13.2
"14","AFG",2012,14.5
"15","AFG",2013,15.2
"16","AFG",2014,15.1
"17","AFG",2015,14.8
"18","AFG",2016,15.1
"19","AFG",2017,17.3
"20","AFG",2018,17.3
"21","AFG",2019,19.8
"22","AFG",2020,22.6
"23","AFG",2021,28.4
"24","AFG",2022,30.6
"25","AFG",2023,31
"26","AFG",2024,31.8
"27","ALB",1999,12.9
"28","ALB",2000,12.6
"29","ALB",2001,12.4
"30","ALB",2002,12.3
"31","ALB",2003,12.1
"32","ALB",2004,11.5
"33","ALB",2005,11.5
"34","ALB",2006,11.3
"35","ALB",2007,11.1
"36","ALB",2008,10.8
"37","ALB",2009,10.6
"38","ALB",2010,10.5
"39","ALB",2011,10.2
"40","ALB",2012,10
"41","ALB",2013,9.9
"42","ALB",2014,9.9
"43","ALB",2015,10
"44","ALB",2016,10.5
"45","ALB",2017,11
"46","ALB",2018,10
"47","ALB",2019,8.8
"48","ALB",2020,7.7
"49","ALB",2021,7.5
"50","ALB",2022,8.2
"51","ALB",2023,8.4
"52","ALB",2024,8
"53","DZA",1999,11.4
"54","DZA",2000,13
"55","DZA",2001,12.7
"56","DZA",2002,12.9
"57","DZA",2003,13
"58","DZA",2004,14.5
"59","DZA",2005,15
"60","DZA",2006,15
"61","DZA",2007,15
"62","DZA",2008,15
"63","DZA",2009,14.3
"64","DZA",2010,14.4
"65","DZA",2011,14.2
"66","DZA",2012,14.1
"67","DZA",2013,13.4
"68","DZA",2014,13.5
"69","DZA",2015,13
"70","DZA",2016,12.7
"71","DZA",2017,11.4
"72","DZA",2018,9.3
"73","DZA",2019,6.9
"74","DZA",2020,6.2
"75","DZA",2021,5.6
"76","DZA",2022,5.6
"77","DZA",2023,4.9
"78","DZA",2024,5.1
"79","AND",1999,1.7
"80","AND",2000,1.5
"81","AND",2001,1.7
"82","AND",2002,1.7
"83","AND",2003,1.8
"84","AND",2004,2
"85","AND",2005,2
"86","AND",2006,2
"87","AND",2007,2
"88","AND",2008,1.7
"89","AND",2009,1.8
"90","AND",2010,1.9
"91","AND",2011,2
"92","AND",2012,2.1
"93","AND",2013,2
"94","AND",2014,1.9
"95","AND",2015,1.8
"96","AND",2016,1.7
"97","AND",2017,1.6
"98","AND",2018,1.5
"99","AND",2019,1.5
"100","AND",2020,1.7
"101","AND",2021,1.4
"102","AND",2022,1.5
"103","AND",2023,1.6
"104","AND",2024,1.6
"105","AGO",1999,19.6
"106","AGO",2000,19.1
"107","AGO",2001,19.9
"108","AGO",2002,19.2
"109","AGO",2003,19
"110","AGO",2004,18.4
"111","AGO",2005,18.3
"112","AGO",2006,17
"113","AGO",2007,16.7
"114","AGO",2008,16.8
"115","AGO",2009,18
"116","AGO",2010,18.8
"117","AGO",2011,19.8
"118","AGO",2012,19.7
"119","AGO",2013,19.9
"120","AGO",2014,20.1
"121","AGO",2015,21
"122","AGO",2016,21.7
"123","AGO",2017,23.8
"124","AGO",2018,25.8
"125","AGO",2019,26.9
"126","AGO",2020,30.4
"127","AGO",2021,31.2
"128","AGO",2022,31.9
"129","AGO",2023,28.4
"130","AGO",2024,28
"131","ATG",1999,8.7
"132","ATG",2000,8.5
"133","ATG",2001,8.4
"134","ATG",2002,8.4
"135","ATG",2003,8.3
"136","ATG",2004,8.2
"137","ATG",2005,7.9
"138","ATG",2006,6.5
"139","ATG",2007,6.5
"140","ATG",2008,6.2
"141","ATG",2009,6.7
"142","ATG",2010,7.8
"143","ATG",2011,7.7
"144","ATG",2012,6.3
"145","ATG",2013,6.2
"146","ATG",2014,6.2
"147","ATG",2015,5.8
"148","ATG",2016,5.9
"149","ATG",2017,5.8
"150","ATG",2018,4
"151","ATG",2019,3.9
"152","ATG",2020,4.8
"153","ATG",2021,3.4
"154","ATG",2022,3.4
"155","ATG",2023,3.4
"156","ATG",2024,3.2
"157","ARG",1999,10.6
"158","ARG",2000,10.7
"159","ARG",2001,11.6
"160","ARG",2002,11.7
"161","ARG",2003,10.9
"162","ARG",2004,11
"163","ARG",2005,11
"164","ARG",2006,10.6
"165","ARG",2007,10.1
"166","ARG",2008,9.8
"167","ARG",2009,10.3
"168","ARG",2010,8.6
"169","ARG",2011,6.4
"170","ARG",2012,6.6
"171","ARG",2013,5.2
"172","ARG",2014,4.4
"173","ARG",2015,5.8
"174","ARG",2016,8.6
"175","ARG",2017,11.2
"176","ARG",2018,12.9
"177","ARG",2019,12.6
"178","ARG",2020,13
"179","ARG",2021,13.1
"180","ARG",2022,13.1
"181","ARG",2023,12.3
"182","ARG",2024,12.7
"183","ARM",1999,11.2
"184","ARM",2000,10.3
"185","ARM",2001,10.7
"186","ARM",2002,9.3
"187","ARM",2003,9.1
"188","ARM",2004,7.6
"189","ARM",2005,7.2
"190","ARM",2006,8
"191","ARM",2007,6.5
"192","ARM",2008,5.1
"193","ARM",2009,3
"194","ARM",2010,2.6
"195","ARM",2011,2.1
"196","ARM",2012,2.2
"197","ARM",2013,2.1
"198","ARM",2014,1.7
"199","ARM",2015,1.5
"200","ARM",2016,1.4
"201","ARM",2017,1.2
"202","ARM",2018,1.1
"203","ARM",2019,0.8
"204","ARM",2020,0.5
"205","ARM",2021,0.5
"206","ARM",2022,0.5
"207","ARM",2023,0.5
"208","ARM",2024,0.5
"209","AUS",1999,2.8
"210","AUS",2000,2.8
"211","AUS",2001,3
"212","AUS",2002,3
"213","AUS",2003,2.8
"214","AUS",2004,2.8
"215","AUS",2005,2.8
"216","AUS",2006,2.7
"217","AUS",2007,2.8
"218","AUS",2008,2.9
"219","AUS",2009,2.8
"220","AUS",2010,2.8
"221","AUS",2011,2.9
"222","AUS",2012,3
"223","AUS",2013,3.1
"224","AUS",2014,3.1
"225","AUS",2015,2.8
