"variable","iso3c","year","value","indicator_sdg"
"SI.POV.DDAY","AGO",2010,38,"1.1.1"
"SI.POV.DDAY","AGO",2011,36.3,"1.1.1"
"SI.POV.DDAY","AGO",2012,34.5,"1.1.1"
"SI.POV.DDAY","AGO",2013,33.4,"1.1.1"
"SI.POV.DDAY","AGO",2014,31.4,"1.1.1"
"SI.POV.DDAY","AGO",2015,35.6,"1.1.1"
"SI.POV.DDAY","AGO",2016,37.2,"1.1.1"
"SI.POV.DDAY","AGO",2017,38.2,"1.1.1"
"SI.POV.DDAY","AGO",2018,39.1,"1.1.1"
"SI.POV.DDAY","AGO",2019,40.1,"1.1.1"
"SI.POV.DDAY","AGO",2020,42,"1.1.1"
"SI.POV.DDAY","AGO",2021,42.3,"1.1.1"
"SI.POV.DDAY","AGO",2022,42.1619,"1.1.1"
"SI.POV.DDAY","AGO",2023,42.7924,"1.1.1"
"SI.POV.DDAY","AGO",2024,42.2996,"1.1.1"
"SI.POV.DDAY","AGO",2025,42.2968,"1.1.1"
"SI.POV.DDAY","ALB",2010,21.7,"1.1.1"
"SI.POV.DDAY","ALB",2011,22,"1.1.1"
"SI.POV.DDAY","ALB",2012,22.7,"1.1.1"
"SI.POV.DDAY","ALB",2013,21.7,"1.1.1"
"SI.POV.DDAY","ALB",2014,20.3,"1.1.1"
"SI.POV.DDAY","ALB",2015,11.4,"1.1.1"
"SI.POV.DDAY","ALB",2016,10.4,"1.1.1"
"SI.POV.DDAY","ALB",2017,8.9,"1.1.1"
"SI.POV.DDAY","ALB",2018,6.6,"1.1.1"
"SI.POV.DDAY","ALB",2019,6,"1.1.1"
"SI.POV.DDAY","ALB",2020,6.5,"1.1.1"
"SI.POV.DDAY","ALB",2021,5.5,"1.1.1"
"SI.POV.DDAY","ALB",2022,5,"1.1.1"
"SI.POV.DDAY","ALB",2023,4.7,"1.1.1"
"SI.POV.DDAY","ALB",2024,4.3,"1.1.1"
"SI.POV.DDAY","ALB",2025,3.9,"1.1.1"
"SI.POV.DDAY","ARE",2010,0,"1.1.1"
"SI.POV.DDAY","ARE",2011,0,"1.1.1"
"SI.POV.DDAY","ARE",2012,0,"1.1.1"
"SI.POV.DDAY","ARE",2013,0,"1.1.1"
"SI.POV.DDAY","ARE",2014,0,"1.1.1"
"SI.POV.DDAY","ARE",2015,0,"1.1.1"
"SI.POV.DDAY","ARE",2016,0,"1.1.1"
"SI.POV.DDAY","ARE",2017,0,"1.1.1"
"SI.POV.DDAY","ARE",2018,0,"1.1.1"
"SI.POV.DDAY","ARE",2019,0,"1.1.1"
